,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavieng,32,PG,1539305420,95,-2.57,150.8,86.89,10.22
1,Arraial do Cabo,100,BR,1539305385,97,-22.97,-42.02,73.97,4.18
2,Rikitea,92,PF,1539305403,100,-23.12,-134.97,71.14,10.56
3,Avarua,75,CK,1539302400,69,-21.21,-159.78,77.0,17.22
4,Tasiilaq,92,GL,1539301800,100,65.61,-37.64,32.0,11.41
5,Busselton,92,AU,1539305268,100,-33.64,115.35,61.96,11.45
6,Juneau,75,US,1539304320,93,58.3,-134.42,46.4,2.39
7,Cidreira,80,BR,1539305407,74,-30.17,-50.22,63.67,18.05
8,Katsuura,75,JP,1539302400,67,33.93,134.5,60.8,5.82
9,Yulara,40,AU,1539302400,82,-25.24,130.99,66.2,11.41
10,Kupang,0,ID,1539304200,40,-10.16,123.6,87.8,3.36
11,Mahanoro,92,MG,1539305684,100,-19.9,48.8,66.82,3.4
12,Ushuaia,40,AR,1539302400,45,-54.81,-68.31,48.2,12.75
13,Dikson,76,RU,1539305424,100,73.51,80.55,31.99,19.62
14,Tuktoyaktuk,90,CA,1539304860,92,69.44,-133.03,21.2,11.41
15,Cape Town,20,ZA,1539302400,76,-33.93,18.42,57.2,12.75
16,Butaritari,68,KI,1539305366,100,3.07,172.79,82.75,9.78
17,Hermanus,64,ZA,1539305507,88,-34.42,19.24,53.95,4.63
18,Havoysund,20,NO,1539303600,93,71.0,24.66,37.4,5.82
19,Hobart,75,AU,1539304200,62,-42.88,147.33,55.4,4.7
20,Cherskiy,68,RU,1539305406,99,68.75,161.3,25.15,1.5
21,Aykhal,80,RU,1539305442,87,65.95,111.51,24.92,5.64
22,Codo,20,ID,1539305688,94,-8.13,112.72,74.78,5.53
23,Lorengau,36,PG,1539305405,95,-2.02,147.27,85.58,10.11
24,Ongandjera,24,NA,1539305689,33,-17.88,15.07,65.38,3.4
25,Ravar,0,IR,1539305689,64,31.27,56.81,46.03,2.62
26,Khatanga,0,RU,1539305472,85,71.98,102.47,20.78,13.13
27,Port Alfred,64,ZA,1539305389,94,-33.59,26.89,64.48,16.49
28,Mataura,92,NZ,1539305356,67,-46.19,168.86,44.23,20.29
29,Sabzevar,8,IR,1539305692,55,36.21,57.68,37.93,2.62
30,Valparaiso,5,US,1539305100,86,41.47,-87.06,46.94,16.11
31,Banes,90,CU,1539301800,94,20.96,-75.72,75.2,4.7
32,Isangel,0,VU,1539305693,98,-19.55,169.27,76.27,8.21
33,Hobyo,20,SO,1539305693,86,5.35,48.53,77.03,18.28
34,Longyearbyen,75,NO,1539301800,68,78.22,15.63,30.2,11.41
35,Punta Arenas,0,CL,1539302400,65,-53.16,-70.91,46.4,27.51
36,Great Falls,1,US,1539302280,11,47.5,-111.29,44.96,5.64
37,Yellowknife,75,CA,1539302400,92,62.45,-114.38,32.0,5.82
38,Tayu,75,JP,1539302400,56,35.06,136.67,68.0,25.28
